Berlin,"Berlin, Stadt",Berlin
Bad Nenndorf,"Bad Nenndorf, Stadt",Niedersachsen
Dassel,"Dassel, Stadt",Niedersachsen
Nohfelden,Nohfelden,Saarland
Weeze,Weeze,Nordrhein-Westfalen
Visselhövede,"Visselhövede, Stadt",Niedersachsen
Friedeburg,Friedeburg,Niedersachsen
Merchweiler,Merchweiler,Saarland
Dippoldiswalde,"Dippoldiswalde, Stadt",Sachsen
Birkenfeld,Birkenfeld,Baden-Württemberg
Emmerthal,Emmerthal,Niedersachsen
Bockenem,"Bockenem, Stadt",Niedersachsen
Lügde,"Lügde, Stadt",Nordrhein-Westfalen
Petersberg,Petersberg,Sachsen-Anhalt
Dießen am Ammersee,"Dießen am Ammersee, M",Bayern
Meßstetten,"Meßstetten, Stadt",Baden-Württemberg
Weinböhla,Weinböhla,Sachsen
Herrsching a.Ammersee,Herrsching a.Ammersee,Bayern
Birkenau,Birkenau,Hessen
Burgkirchen a.d.Alz,Burgkirchen a.d.Alz,Bayern
Riedlingen,"Riedlingen, Stadt",Baden-Württemberg
Grimmen,"Grimmen, Stadt",Mecklenburg-Vorpommern
Kaufering,"Kaufering, M",Bayern
Hünstetten,Hünstetten,Hessen
Altenberge,Altenberge,Nordrhein-Westfalen
Biebertal,Biebertal,Hessen
Kirchlinteln,Kirchlinteln,Niedersachsen
Büdelsdorf,"Büdelsdorf, Stadt",Schleswig-Holstein
Betzdorf,"Betzdorf, Stadt",Rheinland-Pfalz
Geisenfeld,"Geisenfeld, St",Bayern
Herbolzheim,"Herbolzheim, Stadt",Baden-Württemberg
Südharz,Südharz,Sachsen-Anhalt
Schauenburg,Schauenburg,Hessen
Höchst i. Odw.,Höchst i. Odw.,Hessen
Bad Gandersheim,"Bad Gandersheim, Stadt",Niedersachsen
Nauheim,Nauheim,Hessen
Karlsdorf-Neuthard,Karlsdorf-Neuthard,Baden-Württemberg
Zschopau,"Zschopau, Stadt",Sachsen
Kirkel,Kirkel,Saarland
Schwielowsee,Schwielowsee,Brandenburg
Engen,"Engen, Stadt",Baden-Württemberg
Höhenkirchen-Siegertsbrunn,Höhenkirchen-Siegertsbrunn,Bayern
Wendeburg,Wendeburg,Niedersachsen
Hambühren,Hambühren,Niedersachsen
Weingarten (Baden),Weingarten (Baden),Baden-Württemberg
Blumberg,"Blumberg, Stadt",Baden-Württemberg
Korb,Korb,Baden-Württemberg
Prien a.Chiemsee,"Prien a.Chiemsee, M",Bayern
Erlenbach a.Main,"Erlenbach a.Main, St",Bayern
Selfkant,Selfkant,Nordrhein-Westfalen
Linsengericht,Linsengericht,Hessen
Altusried,"Altusried, M",Bayern
Mörlenbach,Mörlenbach,Hessen
Lollar,"Lollar, Stadt",Hessen
Mengen,"Mengen, Stadt",Baden-Württemberg
Nideggen,"Nideggen, Stadt",Nordrhein-Westfalen
Schorfheide,Schorfheide,Brandenburg
Stephanskirchen,Stephanskirchen,Bayern
Bobenheim-Roxheim,Bobenheim-Roxheim,Rheinland-Pfalz
Ottendorf-Okrilla,Ottendorf-Okrilla,Sachsen
Merzenich,Merzenich,Nordrhein-Westfalen
Barmstedt,"Barmstedt, Stadt",Schleswig-Holstein
Altenholz,Altenholz,Schleswig-Holstein
Neuenhaus,"Neuenhaus, Stadt",Niedersachsen
Niesky,"Niesky, Stadt",Sachsen
Gernsheim,"Gernsheim, Schöfferstadt",Hessen
Rutesheim,"Rutesheim, Stadt",Baden-Württemberg
Luckau,"Luckau, Stadt",Brandenburg
Goldbach,"Goldbach, M",Bayern
Emsbüren,Emsbüren,Niedersachsen
Rüdesheim am Rhein,"Rüdesheim am Rhein, Stadt",Hessen
Kümmersbruck,Kümmersbruck,Bayern
Rödinghausen,Rödinghausen,Nordrhein-Westfalen
Appenweier,Appenweier,Baden-Württemberg
Bad Liebenwerda,"Bad Liebenwerda, Stadt",Brandenburg
Kirchseeon,"Kirchseeon, M",Bayern
Giesen,Giesen,Niedersachsen
Plankstadt,Plankstadt,Baden-Württemberg
Königsbach-Stein,Königsbach-Stein,Baden-Württemberg
Wildau,Wildau,Brandenburg
Zahna-Elster,"Zahna-Elster, Stadt",Sachsen-Anhalt
Roßtal,"Roßtal, M",Bayern
Wildberg,"Wildberg, Stadt",Baden-Württemberg
Ammersbek,Ammersbek,Schleswig-Holstein
Hünfelden,Hünfelden,Hessen
Steinen,Steinen,Baden-Württemberg
Nordkirchen,Nordkirchen,Nordrhein-Westfalen
Schönaich,Schönaich,Baden-Württemberg
Oldenburg in Holstein,"Oldenburg in Holstein, Stadt",Schleswig-Holstein
Diedorf,"Diedorf, M",Bayern
Veitshöchheim,Veitshöchheim,Bayern
Weil im Schönbuch,Weil im Schönbuch,Baden-Württemberg
Laubach,"Laubach, Stadt",Hessen
Sassnitz,"Sassnitz, Stadt",Mecklenburg-Vorpommern
Zörbig,"Zörbig, Stadt",Sachsen-Anhalt
Heubach,"Heubach, Stadt",Baden-Württemberg
Wölfersheim,Wölfersheim,Hessen
Runkel,"Runkel, Stadt",Hessen
Süßen,"Süßen, Stadt",Baden-Württemberg
Kirchzarten,Kirchzarten,Baden-Württemberg
Twist,Twist,Niedersachsen
Bogen,"Bogen, St",Bayern
Simbach a.Inn,"Simbach a.Inn, St",Bayern
Schlitz,"Schlitz, Stadt",Hessen
Raguhn-Jeßnitz,"Raguhn-Jeßnitz, Stadt",Sachsen-Anhalt
Salzhemmendorf,"Salzhemmendorf, Flecken",Niedersachsen
Augustdorf,Augustdorf,Nordrhein-Westfalen
Steinfeld (Oldenburg),Steinfeld (Oldenburg),Niedersachsen
Aulendorf,"Aulendorf, Stadt",Baden-Württemberg
Niebüll,"Niebüll, Stadt",Schleswig-Holstein
Ainring,Ainring,Bayern
Seegebiet Mansfelder Land,Seegebiet Mansfelder Land,Sachsen-Anhalt
Mansfeld,"Mansfeld, Stadt",Sachsen-Anhalt
Lenggries,Lenggries,Bayern
Aichtal,"Aichtal, Stadt",Baden-Württemberg
Neuenstadt am Kocher,"Neuenstadt am Kocher, Stadt",Baden-Württemberg
Olbernhau,"Olbernhau, Stadt",Sachsen
Bad Wildbad,"Bad Wildbad, Stadt",Baden-Württemberg
Bleckede,"Bleckede, Stadt",Niedersachsen
Weilheim an der Teck,"Weilheim an der Teck, Stadt",Baden-Württemberg
Oberstdorf,"Oberstdorf, M",Bayern
Ilsenburg (Harz),"Ilsenburg (Harz), Stadt",Sachsen-Anhalt
Werlte,Werlte,Niedersachsen
Calbe (Saale),"Calbe (Saale), Stadt",Sachsen-Anhalt
Ostercappeln,Ostercappeln,Niedersachsen
Markt Indersdorf,"Markt Indersdorf, M",Bayern
Herzberg (Elster),"Herzberg (Elster), Stadt",Brandenburg
Köngen,Köngen,Baden-Württemberg
Penig,"Penig, Stadt",Sachsen
Wunsiedel,"Wunsiedel, St",Bayern
Oberhausen-Rheinhausen,Oberhausen-Rheinhausen,Baden-Württemberg
Wallerfangen,Wallerfangen,Saarland
Rehau,"Rehau, St",Bayern
Mücke,Mücke,Hessen
Hallbergmoos,Hallbergmoos,Bayern
Lüchow (Wendland),"Lüchow (Wendland), Stadt",Niedersachsen
Römerberg,Römerberg,Rheinland-Pfalz
Bad König,"Bad König, Stadt",Hessen
Nordwalde,Nordwalde,Nordrhein-Westfalen
Brandis,"Brandis, Stadt",Sachsen
Dissen am Teutoburger Wald,"Dissen am Teutoburger Wald, Stadt",Niedersachsen
Obernkirchen,"Obernkirchen, Stadt",Niedersachsen
Burgau,"Burgau, St",Bayern
Kenzingen,"Kenzingen, Stadt",Baden-Württemberg
Everswinkel,Everswinkel,Nordrhein-Westfalen
Zwiesel,"Zwiesel, St",Bayern
Wahlstedt,"Wahlstedt, Stadt",Schleswig-Holstein
Neuried,Neuried,Baden-Württemberg
Schwaikheim,Schwaikheim,Baden-Württemberg
Kyritz,"Kyritz, Stadt",Brandenburg
Kolkwitz,Kolkwitz,Brandenburg
Altenbeken,Altenbeken,Nordrhein-Westfalen
Niddatal,"Niddatal, Stadt",Hessen
Goldenstedt,Goldenstedt,Niedersachsen
Pliezhausen,Pliezhausen,Baden-Württemberg
Plüderhausen,Plüderhausen,Baden-Württemberg
Lößnitz,"Lößnitz, Stadt",Sachsen
Gnarrenburg,Gnarrenburg,Niedersachsen
Tutzing,Tutzing,Bayern
Bad Orb,"Bad Orb, Stadt",Hessen
Nalbach,Nalbach,Saarland
Nersingen,Nersingen,Bayern
Wangerland,Wangerland,Niedersachsen
Visbek,Visbek,Niedersachsen
Walzbachtal,Walzbachtal,Baden-Württemberg
Wehrheim,Wehrheim,Hessen
Großhansdorf,Großhansdorf,Schleswig-Holstein
Ehringshausen,Ehringshausen,Hessen
Gudensberg,"Gudensberg, Stadt",Hessen
Worpswede,Worpswede,Niedersachsen
Furtwangen im Schwarzwald,"Furtwangen im Schwarzwald, Stadt",Baden-Württemberg
Mücheln (Geiseltal),"Mücheln (Geiseltal), Stadt",Sachsen-Anhalt
Nieder-Olm,"Nieder-Olm, Stadt",Rheinland-Pfalz
Trebbin,"Trebbin, Stadt",Brandenburg
Osternienburger Land,Osternienburger Land,Sachsen-Anhalt
Großräschen,"Großräschen, Stadt",Brandenburg
Sülzetal,Sülzetal,Sachsen-Anhalt
Teisendorf,"Teisendorf, M",Bayern
Alsbach-Hähnlein,Alsbach-Hähnlein,Hessen
Höhr-Grenzhausen,"Höhr-Grenzhausen, Stadt",Rheinland-Pfalz
Sande,Sande,Niedersachsen
Taufkirchen (Vils),Taufkirchen (Vils),Bayern
Eisenberg (Pfalz),"Eisenberg (Pfalz), Stadt",Rheinland-Pfalz
Bisingen,Bisingen,Baden-Württemberg
Colditz,"Colditz, Stadt",Sachsen
Gleichen,Gleichen,Niedersachsen
Elsfleth,"Elsfleth, Stadt",Niedersachsen
Fürstenau,"Fürstenau, Stadt",Niedersachsen
Bad Laer,Bad Laer,Niedersachsen
Dettingen an der Erms,Dettingen an der Erms,Baden-Württemberg
Hirschberg an der Bergstraße,Hirschberg an der Bergstraße,Baden-Württemberg
Töging a.Inn,"Töging a.Inn, St",Bayern
Elchingen,Elchingen,Bayern
Tirschenreuth,"Tirschenreuth, St",Bayern
Miltenberg,"Miltenberg, St",Bayern
Willstätt,Willstätt,Baden-Württemberg
Keltern,Keltern,Baden-Württemberg
Höchberg,"Höchberg, M",Bayern
Bad Lauchstädt,"Bad Lauchstädt, Goethestadt",Sachsen-Anhalt
Lauta,"Lauta, Stadt",Sachsen
Endingen am Kaiserstuhl,"Endingen am Kaiserstuhl, Stadt",Baden-Württemberg
Borgentreich,"Borgentreich, Stadt",Nordrhein-Westfalen
Barby,"Barby, Stadt",Sachsen-Anhalt
Heiligenhafen,"Heiligenhafen, Stadt",Schleswig-Holstein
Gäufelden,Gäufelden,Baden-Württemberg
Lützen,"Lützen, Stadt",Sachsen-Anhalt
Hohenhameln,Hohenhameln,Niedersachsen
Schaafheim,Schaafheim,Hessen
Barleben,Barleben,Sachsen-Anhalt
Breckerfeld,"Breckerfeld, Stadt",Nordrhein-Westfalen
Sinntal,Sinntal,Hessen
Ueckermünde,"Ueckermünde, Stadt",Mecklenburg-Vorpommern
Eslohe (Sauerland),Eslohe (Sauerland),Nordrhein-Westfalen
Heilsbronn,"Heilsbronn, St",Bayern
Könnern,"Könnern, Stadt",Sachsen-Anhalt
Heringsdorf,Heringsdorf,Mecklenburg-Vorpommern
Lichtenstein,Lichtenstein,Baden-Württemberg
Dörverden,Dörverden,Niedersachsen
Weilmünster,"Weilmünster, Marktflecken",Hessen
Furth im Wald,"Furth im Wald, St",Bayern
Wetter (Hessen),"Wetter (Hessen), Stadt",Hessen
Elsenfeld,"Elsenfeld, M",Bayern
Doberlug-Kirchhain,"Doberlug-Kirchhain, Stadt",Brandenburg
Bad Ems,"Bad Ems, Stadt",Rheinland-Pfalz
Barntrup,"Barntrup, Stadt",Nordrhein-Westfalen
Schönwalde-Glien,Schönwalde-Glien,Brandenburg
Mainhausen,Mainhausen,Hessen
Storkow (Mark),"Storkow (Mark), Stadt",Brandenburg
Kösching,"Kösching, M",Bayern
Vettweiß,Vettweiß,Nordrhein-Westfalen
Ebsdorfergrund,Ebsdorfergrund,Hessen
Elze,"Elze, Stadt",Niedersachsen
Schlangen,Schlangen,Nordrhein-Westfalen
Südlohn,Südlohn,Nordrhein-Westfalen
Pfedelbach,Pfedelbach,Baden-Württemberg
Schieder-Schwalenberg,"Schieder-Schwalenberg, Stadt",Nordrhein-Westfalen
Bismark (Altmark),"Bismark (Altmark), Stadt",Sachsen-Anhalt
Ortenberg,"Ortenberg, Stadt",Hessen
Magstadt,Magstadt,Baden-Württemberg
Waltenhofen,Waltenhofen,Bayern
Kappeln,"Kappeln, Stadt",Schleswig-Holstein
Schmitten,Schmitten,Hessen
Biblis,Biblis,Hessen
Teterow,"Teterow, Stadt",Mecklenburg-Vorpommern
Bad Breisig,"Bad Breisig, Stadt",Rheinland-Pfalz
Torgelow,"Torgelow, Stadt",Mecklenburg-Vorpommern
Nittendorf,"Nittendorf, M",Bayern
Auerbach i.d.OPf.,"Auerbach i.d.OPf., St",Bayern
Hainichen,"Hainichen, Stadt",Sachsen
Wertingen,"Wertingen, St",Bayern
Timmendorfer Strand,Timmendorfer Strand,Schleswig-Holstein
Kabelsketal,Kabelsketal,Sachsen-Anhalt
Nonnweiler,Nonnweiler,Saarland
Dielheim,Dielheim,Baden-Württemberg
Tecklenburg,"Tecklenburg, Stadt",Nordrhein-Westfalen
Elsteraue,Elsteraue,Sachsen-Anhalt
Zorneding,Zorneding,Bayern
Florstadt,"Florstadt, Stadt",Hessen
Bad Bevensen,"Bad Bevensen, Stadt",Niedersachsen
Hemmoor,"Hemmoor, Stadt",Niedersachsen
Helmbrechts,"Helmbrechts, St",Bayern
Aidlingen,Aidlingen,Baden-Württemberg
Zwenkau,"Zwenkau, Stadt",Sachsen
Bad Schmiedeberg,"Bad Schmiedeberg, Stadt",Sachsen-Anhalt
Memmelsdorf,Memmelsdorf,Bayern
Beilngries,"Beilngries, St",Bayern
Liederbach am Taunus,Liederbach am Taunus,Hessen
Pullach i.Isartal,Pullach i.Isartal,Bayern
Fuldabrück,Fuldabrück,Hessen
Teuchern,"Teuchern, Stadt",Sachsen-Anhalt
Altlandsberg,"Altlandsberg, Stadt",Brandenburg
Flieden,Flieden,Hessen
Barth,"Barth, Stadt",Mecklenburg-Vorpommern
Seeland,"Seeland, Stadt",Sachsen-Anhalt
Reinfeld (Holstein),"Reinfeld (Holstein), Stadt",Schleswig-Holstein
Borgholzhausen,"Borgholzhausen, Stadt",Nordrhein-Westfalen
Waldfeucht,Waldfeucht,Nordrhein-Westfalen
Vetschau/Spreewald,"Vetschau/Spreewald, Stadt",Brandenburg
Osthofen,"Osthofen, Stadt",Rheinland-Pfalz
Urbach,Urbach,Baden-Württemberg
Bad Liebenzell,"Bad Liebenzell, Stadt",Baden-Württemberg
Bad Frankenhausen/Kyffhäuser,"Bad Frankenhausen/Kyffhäuser, Stadt",Thüringen
Ilsfeld,Ilsfeld,Baden-Württemberg
Mittenwalde,"Mittenwalde, Stadt",Brandenburg
March,March,Baden-Württemberg
Plön,"Plön, Stadt",Schleswig-Holstein
Sonsbeck,Sonsbeck,Nordrhein-Westfalen
Kirchen (Sieg),"Kirchen (Sieg), Stadt",Rheinland-Pfalz
Hürtgenwald,Hürtgenwald,Nordrhein-Westfalen
Gomaringen,Gomaringen,Baden-Württemberg
Ochsenhausen,"Ochsenhausen, Stadt",Baden-Württemberg
Kirchberg,"Kirchberg, Stadt",Sachsen
Mendig,"Mendig, Stadt",Rheinland-Pfalz
Oranienbaum-Wörlitz,"Oranienbaum-Wörlitz, Stadt",Sachsen-Anhalt
Nuthetal,Nuthetal,Brandenburg
Dallgow-Döberitz,Dallgow-Döberitz,Brandenburg
Oststeinbek,Oststeinbek,Schleswig-Holstein
Frickenhausen,Frickenhausen,Baden-Württemberg
Blankenheim,Blankenheim,Nordrhein-Westfalen
Spelle,Spelle,Niedersachsen
Ilvesheim,Ilvesheim,Baden-Württemberg
Volkach,"Volkach, St",Bayern
Fehrbellin,Fehrbellin,Brandenburg
Harzgerode,"Harzgerode, Stadt",Sachsen-Anhalt
Freystadt,"Freystadt, St",Bayern
Mainaschaff,Mainaschaff,Bayern
Reichelsheim (Odenwald),Reichelsheim (Odenwald),Hessen
Laufenburg (Baden),"Laufenburg (Baden), Stadt",Baden-Württemberg
Falkenstein/Vogtl.,"Falkenstein/Vogtl., Stadt",Sachsen
Kißlegg,Kißlegg,Baden-Württemberg
Premnitz,"Premnitz, Stadt",Brandenburg
Lienen,Lienen,Nordrhein-Westfalen
Neustadt (Hessen),"Neustadt (Hessen), Stadt",Hessen
Obernburg a.Main,"Obernburg a.Main, St",Bayern
Kandel,"Kandel, Stadt",Rheinland-Pfalz
Rimbach,Rimbach,Hessen
Garching a.d.Alz,Garching a.d.Alz,Bayern
Sulzbach (Taunus),Sulzbach (Taunus),Hessen
Bockhorn,Bockhorn,Niedersachsen
Hemau,"Hemau, St",Bayern
Biederitz,Biederitz,Sachsen-Anhalt
Dornburg,Dornburg,Hessen
Schleiz,"Schleiz, Stadt",Thüringen
Steinheim am Albuch,Steinheim am Albuch,Baden-Württemberg
Elsterwerda,"Elsterwerda, Stadt",Brandenburg
Hallstadt,"Hallstadt, St",Bayern
Großheide,Großheide,Niedersachsen
Großenlüder,Großenlüder,Hessen
Berching,"Berching, St",Bayern
Dornstadt,Dornstadt,Baden-Württemberg
Liebenburg,Liebenburg,Niedersachsen
Hohenbrunn,Hohenbrunn,Bayern
Landstuhl,"Landstuhl, Sickingenstadt, Stadt",Rheinland-Pfalz
Nittenau,"Nittenau, St",Bayern
Naunhof,"Naunhof, Stadt",Sachsen
Altenberg,"Altenberg, Stadt",Sachsen
Waldenbuch,"Waldenbuch, Stadt",Baden-Württemberg
Ichenhausen,"Ichenhausen, St",Bayern
Vallendar,"Vallendar, Stadt",Rheinland-Pfalz
Rain,"Rain, St",Bayern
Haibach,Haibach,Bayern
Willebadessen,"Willebadessen, Stadt",Nordrhein-Westfalen
Biebergemünd,Biebergemünd,Hessen
Neuötting,"Neuötting, St",Bayern
Schwarzenbruck,Schwarzenbruck,Bayern
Heek,Heek,Nordrhein-Westfalen
Neustadt an der Orla,"Neustadt an der Orla, Stadt",Thüringen
Treuen,"Treuen, Stadt",Sachsen
Schwaig b.Nürnberg,Schwaig b.Nürnberg,Bayern
Grafenau,"Grafenau, St",Bayern
Ahrensbök,Ahrensbök,Schleswig-Holstein
Großrosseln,Großrosseln,Saarland
Allstedt,"Allstedt, Stadt",Sachsen-Anhalt
Roetgen,Roetgen,Nordrhein-Westfalen
Essen (Oldenburg),Essen (Oldenburg),Niedersachsen
Budenheim,Budenheim,Rheinland-Pfalz
Bad Schussenried,"Bad Schussenried, Stadt",Baden-Württemberg
Bellheim,Bellheim,Rheinland-Pfalz
Neuried,Neuried,Bayern
Calau,"Calau, Stadt",Brandenburg
Efringen-Kirchen,Efringen-Kirchen,Baden-Württemberg
Bad Griesbach i.Rottal,"Bad Griesbach i.Rottal, St",Bayern
Heroldsberg,"Heroldsberg, M",Bayern
Bad Lausick,"Bad Lausick, Stadt",Sachsen
Kressbronn am Bodensee,Kressbronn am Bodensee,Baden-Württemberg
Moritzburg,Moritzburg,Sachsen
Waldheim,"Waldheim, Stadt",Sachsen
Titz,Titz,Nordrhein-Westfalen
Rheinsberg,"Rheinsberg, Stadt",Brandenburg
Sebnitz,"Sebnitz, Stadt",Sachsen
Wenzenbach,Wenzenbach,Bayern
Borsdorf,Borsdorf,Sachsen
Meinersen,Meinersen,Niedersachsen
Langenberg,Langenberg,Nordrhein-Westfalen
Weißenthurm,"Weißenthurm, Stadt",Rheinland-Pfalz
Bad Sooden-Allendorf,"Bad Sooden-Allendorf, Stadt",Hessen
Bad Endbach,Bad Endbach,Hessen
Kirn,"Kirn, Stadt",Rheinland-Pfalz
Meine,Meine,Niedersachsen
Wissen,"Wissen, Stadt",Rheinland-Pfalz
Heikendorf,Heikendorf,Schleswig-Holstein
Hellenthal,Hellenthal,Nordrhein-Westfalen
Freisen,Freisen,Saarland
Nörten-Hardenberg,"Nörten-Hardenberg, Flecken",Niedersachsen
Schellerten,Schellerten,Niedersachsen
Dörentrup,Dörentrup,Nordrhein-Westfalen
Siegsdorf,Siegsdorf,Bayern
Aken (Elbe),"Aken (Elbe), Stadt",Sachsen-Anhalt
Mühlhausen,Mühlhausen,Baden-Württemberg
Hermannsburg,Hermannsburg,Niedersachsen
Delligsen,"Delligsen, Flecken",Niedersachsen
Uedem,Uedem,Nordrhein-Westfalen
Meßkirch,"Meßkirch, Stadt",Baden-Württemberg
Hilzingen,Hilzingen,Baden-Württemberg
Arnstein,"Arnstein, St",Bayern
Kleinostheim,Kleinostheim,Bayern
Elz,Elz,Hessen
Groß Kreutz (Havel),Groß Kreutz (Havel),Brandenburg
Staufenberg,"Staufenberg, Stadt",Hessen
Nordharz,Nordharz,Sachsen-Anhalt
Selters (Taunus),Selters (Taunus),Hessen
Daun,"Daun, Stadt",Rheinland-Pfalz
Dannenberg (Elbe),"Dannenberg (Elbe), Stadt",Niedersachsen
Möser,Möser,Sachsen-Anhalt
Lahnau,Lahnau,Hessen
Großbottwar,"Großbottwar, Stadt",Baden-Württemberg
Bad Düben,"Bad Düben, Stadt",Sachsen
Viechtach,"Viechtach, St",Bayern
Heiden,Heiden,Nordrhein-Westfalen
Kalbe (Milde),"Kalbe (Milde), Stadt",Sachsen-Anhalt
Rauenberg,"Rauenberg, Stadt",Baden-Württemberg
Kandern,"Kandern, Stadt",Baden-Württemberg
Trittau,Trittau,Schleswig-Holstein
Grünheide (Mark),Grünheide (Mark),Brandenburg
Beeskow,"Beeskow, Stadt",Brandenburg
Ahnatal,Ahnatal,Hessen
Kusterdingen,Kusterdingen,Baden-Württemberg
Hausham,Hausham,Bayern
Löwenberger Land,Löwenberger Land,Brandenburg
Aspach,Aspach,Baden-Württemberg
Wietze,Wietze,Niedersachsen
Hermsdorf,"Hermsdorf, Stadt",Thüringen
Staufenberg,Staufenberg,Niedersachsen
Pfronten,Pfronten,Bayern
Lenningen,Lenningen,Baden-Württemberg
Reichenbach an der Fils,Reichenbach an der Fils,Baden-Württemberg
Zell am Harmersbach,"Zell am Harmersbach, Stadt",Baden-Württemberg
Algermissen,Algermissen,Niedersachsen
Allersberg,"Allersberg, M",Bayern
Reinsdorf,Reinsdorf,Sachsen
Bühlertal,Bühlertal,Baden-Württemberg
Berg,Berg,Bayern
Bad Endorf,"Bad Endorf, M",Bayern
Karlstein a.Main,Karlstein a.Main,Bayern
Wustermark,Wustermark,Brandenburg
Klingenthal,"Klingenthal, Stadt",Sachsen
Neunburg vorm Wald,"Neunburg vorm Wald, St",Bayern
Eibenstock,"Eibenstock, Stadt",Sachsen
Küps,"Küps, M",Bayern
Schnaittach,"Schnaittach, M",Bayern
Medebach,"Medebach, Stadt",Nordrhein-Westfalen
Bördeland,Bördeland,Sachsen-Anhalt
Dornstetten,"Dornstetten, Stadt",Baden-Württemberg
Werneuchen,"Werneuchen, Stadt",Brandenburg
Naila,"Naila, St",Bayern
Niederwerrn,Niederwerrn,Bayern
Gerbstedt,"Gerbstedt, Stadt",Sachsen-Anhalt
Ottobeuren,"Ottobeuren, M",Bayern
Perl,Perl,Saarland
Hardegsen,"Hardegsen, Stadt",Niedersachsen
Söhlde,Söhlde,Niedersachsen
Neresheim,"Neresheim, Stadt",Baden-Württemberg
Nierstein,Nierstein,Rheinland-Pfalz
Untergruppenbach,Untergruppenbach,Baden-Württemberg
Oberstenfeld,Oberstenfeld,Baden-Württemberg
Heidenrod,Heidenrod,Hessen
Wachtendonk,Wachtendonk,Nordrhein-Westfalen
Hohberg,Hohberg,Baden-Württemberg
Münnerstadt,"Münnerstadt, St",Bayern
Bersenbrück,"Bersenbrück, Stadt",Niedersachsen
Neuenkirchen-Vörden,Neuenkirchen-Vörden,Niedersachsen
Kuppenheim,"Kuppenheim, Stadt",Baden-Württemberg
Schömberg,Schömberg,Baden-Württemberg
Knittlingen,"Knittlingen, Stadt",Baden-Württemberg
Kellinghusen,"Kellinghusen, Stadt",Schleswig-Holstein
Kirchheimbolanden,"Kirchheimbolanden, Stadt",Rheinland-Pfalz
Ehningen,Ehningen,Baden-Württemberg
Althengstett,Althengstett,Baden-Württemberg
Uhldingen-Mühlhofen,Uhldingen-Mühlhofen,Baden-Württemberg
Molbergen,Molbergen,Niedersachsen
Forst,Forst,Baden-Württemberg
Möckmühl,"Möckmühl, Stadt",Baden-Württemberg
Schemmerhofen,Schemmerhofen,Baden-Württemberg
Rülzheim,Rülzheim,Rheinland-Pfalz
Sontra,"Sontra, Stadt",Hessen
Huy,Huy,Sachsen-Anhalt
Wettringen,Wettringen,Nordrhein-Westfalen
Strullendorf,Strullendorf,Bayern
Dietmannsried,"Dietmannsried, M",Bayern
Neunkirchen a.Brand,"Neunkirchen a.Brand, M",Bayern
Ballenstedt,"Ballenstedt, Stadt",Sachsen-Anhalt
Birkenwerder,Birkenwerder,Brandenburg
Frielendorf,Frielendorf,Hessen
Woltersdorf,Woltersdorf,Brandenburg
Malchin,"Malchin, Stadt",Mecklenburg-Vorpommern
Leck,Leck,Schleswig-Holstein
Schonungen,Schonungen,Bayern
Oberkochen,"Oberkochen, Stadt",Baden-Württemberg
Burkardroth,"Burkardroth, M",Bayern
Bützow,"Bützow, Stadt",Mecklenburg-Vorpommern
Groitzsch,"Groitzsch, Stadt",Sachsen
Gundelfingen a.d.Donau,"Gundelfingen a.d.Donau, St",Bayern
Salach,Salach,Baden-Württemberg
Obertraubling,Obertraubling,Bayern
Fürstenzell,"Fürstenzell, M",Bayern
Aschheim,Aschheim,Bayern
Thedinghausen,Thedinghausen,Niedersachsen
Großbeeren,Großbeeren,Brandenburg
Homberg (Ohm),"Homberg (Ohm), Stadt",Hessen
Hartha,"Hartha, Stadt",Sachsen
Altrip,Altrip,Rheinland-Pfalz
Rimpar,"Rimpar, M",Bayern
Bad Berka,"Bad Berka, Stadt",Thüringen
Berchtesgaden,"Berchtesgaden, M",Bayern
Grasberg,Grasberg,Niedersachsen
Winterbach,Winterbach,Baden-Württemberg
Bad Sachsa,"Bad Sachsa, Stadt",Niedersachsen
Pulsnitz,"Pulsnitz, Stadt",Sachsen
Simmern/ Hunsrück,"Simmern/ Hunsrück, Stadt",Rheinland-Pfalz
Nordheim,Nordheim,Baden-Württemberg
Hopsten,Hopsten,Nordrhein-Westfalen
Bruchmühlbach-Miesau,Bruchmühlbach-Miesau,Rheinland-Pfalz
Gerolstein,"Gerolstein, Stadt",Rheinland-Pfalz
Vohenstrauß,"Vohenstrauß, St",Bayern
Rottenburg a.d.Laaber,"Rottenburg a.d.Laaber, St",Bayern
Stockstadt a.Main,"Stockstadt a.Main, M",Bayern
Bad Feilnbach,Bad Feilnbach,Bayern
Schulzendorf,Schulzendorf,Brandenburg
Langenargen,Langenargen,Baden-Württemberg
Wörrstadt,"Wörrstadt, Stadt",Rheinland-Pfalz
Treuenbrietzen,"Treuenbrietzen, Stadt",Brandenburg
Hüfingen,"Hüfingen, Stadt",Baden-Württemberg
Reichertshofen,"Reichertshofen, M",Bayern
Reisbach,"Reisbach, M",Bayern
Ramstein-Miesenbach,"Ramstein-Miesenbach, Stadt",Rheinland-Pfalz
Nettersheim,Nettersheim,Nordrhein-Westfalen
Gedern,"Gedern, Stadt",Hessen
Löffingen,"Löffingen, Stadt",Baden-Württemberg
Bunde,Bunde,Niedersachsen
Bad Rothenfelde,Bad Rothenfelde,Niedersachsen
Lengenfeld,"Lengenfeld, Stadt",Sachsen
Friedland,Friedland,Niedersachsen
Salzbergen,Salzbergen,Niedersachsen
